,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma
7,2012-11-28,AMZN,242.4499969482422,247.22999572753906,241.5,247.11000061035156,2743400.0,2.0,0.6905289453368653,247.1401945417052,218.10380570243544,54.91220077081757,126.11584556067358,19.342981390768557,234.35466715494792,244.2846674601237
7,2012-11-28,BIDU,94.23999786376953,96.33999633789062,93.38999938964844,95.80999755859375,3492500.0,2.0,-4.194716343159811,110.31001524624148,88.2089842349597,39.41053168772514,-87.58355369494976,48.55829222441623,104.11233291625976,108.00083274841309
7,2012-11-28,GOOG,332.75775146484375,341.1761779785156,330.7054443359375,340.5585021972656,6106804.0,2.0,-4.083994542390656,345.5612305745802,320.06483448889634,50.10319500592836,-7.600162801067961,9.191350142885351,338.2257466634115,350.86927083333336
7,2012-11-28,INTC,19.889999389648438,20.110000610351562,19.639999389648438,15.490364074707031,43226300.0,2.0,-0.41416426826793007,17.13903250509482,14.579378368318263,38.47127527790613,-89.1199072714626,30.34570570658407,16.09215087890625,16.84762306213379
7,2012-11-28,MSFT,27.010000228881836,27.389999389648438,26.770000457763672,22.77168846130371,53018400.0,2.0,-0.4015571570937624,24.925860961016205,21.423578087750883,42.79651029794602,-72.4443234114351,23.17975169149637,23.34091262817383,24.201226425170898
7,2012-11-28,NVDA,3.0274999141693115,3.0799999237060547,2.990000009536743,2.833705425262451,39833200.0,2.0,-0.03864009496757603,3.008019006965086,2.565484987976626,47.53198985347116,-7.951165537529362,4.569587745110801,2.8122709433237714,2.940253162384033
7,2012-11-28,QCOM,61.86000061035156,62.68000030517578,61.66999816894531,47.93773651123047,9932500.0,2.0,0.46653914502585536,48.97284707965905,44.71731405315346,54.5119508063912,85.56941382620737,9.264399717298263,46.289313379923506,46.99629383087158
8,2012-11-29,AAPL,21.079286575317383,21.22321319580078,20.90178680419922,18.206573486328125,514698800.0,3.0,-0.22940870457299667,18.74019978989716,16.029903664692682,47.83835694290742,17.17121111432563,6.542684229084683,17.955585098266603,19.26362501780192
8,2012-11-29,AMD,2.009999990463257,2.119999885559082,2.009999990463257,2.0399999618530273,42800100.0,3.0,-0.16685078255985264,2.1622757784700486,1.7927241929197215,36.099559990911104,-16.67161766835485,1.7499405341630094,2.078666647275289,2.7546666661898294
8,2012-11-29,AMZN,248.0500030517578,252.47999572753906,247.5,251.27000427246094,5310500.0,3.0,1.7754978462639883,250.2866540674645,216.79534666495738,56.882157549413485,173.23390642827246,29.054012092275887,234.59100087483725,244.3346674601237
8,2012-11-29,BIDU,96.69000244140625,99.4000015258789,95.13999938964844,99.0,5926600.0,3.0,-3.694240844392951,109.34916057818616,88.39683856732167,42.93615791381373,-56.9366919121316,28.878600923418595,103.61833292643229,107.79349937438965
8,2012-11-29,GOOG,342.6058349609375,345.6543884277344,339.72662353515625,344.6531677246094,5573814.0,3.0,-2.8648460172070713,346.66380237598645,319.53960033397453,52.02692944266642,51.13489375163318,0.48273007438318205,337.41063537597654,350.92572631835935
8,2012-11-29,INTC,19.829999923706055,20.040000915527344,19.459999084472656,15.058574676513672,64926300.0,3.0,-0.41950679797182744,17.07604324582425,14.497458150354952,35.71047321669715,-101.64630884377449,34.14502533987281,16.041303698221842,16.782768313090006
8,2012-11-29,MSFT,27.110000610351562,27.360000610351562,26.860000610351562,22.43045425415039,69551400.0,3.0,-0.3991533217412133,24.889784077732703,21.34668061342941,40.83092403784023,-74.75327424368218,23.17975169149639,23.276562690734863,24.151027774810792
